time,solar,wind,demand,price,carbon_intensity
0,0.0,2.0,5.12492163063678,97.41827397631458,0.6665594889547344
1,0.0,1.9336439232761318,5.550912083964082,118.02351551899945,0.6078381046355446
2,0.0,1.7088321376349698,5.4942418999135345,112.73384937516495,0.5998258797208071
3,0.01304028949109572,1.485888868698513,5.842217771987466,115.80388449512422,0.5978127798544484
4,0.11698368344439404,1.5742996791241808,6.126697636188477,111.65702856301579,0.624765642468018
5,0.07778884862851232,1.9862425541984128,6.161385592117134,112.38309651442961,0.5820743383959157
6,0.0,1.7575300051899867,6.144688115499995,127.43958932441231,0.6467542340043728
7,0.7744439697809579,1.8838011656758238,6.148915713654193,106.01254898589694,0.6016845388908358
8,1.4159863358164901,1.1506961407891532,5.994810714703011,111.10273910599432,0.6098553506022197
9,2.217154071131708,0.8575093247144963,6.049845136223727,101.9953426959602,0.602983083370979
10,2.737185960825499,1.1070530422275853,5.5623861680832505,82.6856097338183,0.6286575496416529
11,2.8000728209623764,1.566445263890039,5.493442332721699,72.9899432005482,0.15317605827403522
12,2.627655673104648,1.6519708210096296,4.953287590040911,67.36694935068775,0.17144311155563519
13,2.9585654297023147,1.804560405868042,4.962684945721529,59.64402731723914,0.1945581452276837
14,2.7610264501489614,1.8656101191163856,4.30297644609102,51.04259768939086,0.20688719796804697
15,1.9536527091332063,2.0773440371675282,3.857652924052946,56.90372444651594,0.2096975494224648
16,1.5531766871292356,1.7945319167170108,3.8844961530608226,71.68340052465588,0.16408004842378987
17,1.0546264778777261,1.9538777058305663,3.3889920608254047,66.93100671054219,0.18712342560998488
18,0.09847771313156302,1.8200295916450968,5.800319959789028,105.12914944094929,0.5980008404393908
19,0.0660550561106947,1.6692842728262867,4.894223469342002,105.7889316321772,0.6382713269861902
20,0.04825455327900793,1.5941496066082574,5.278974507649391,111.65657228043081,0.6283828279299428
21,0.1274278585553592,1.474237944324978,5.796371336864472,114.68567950727734,0.6208943090861876
22,0.0,1.205825957516276,4.165021623413303,104.60402325051317,0.6526838756494302
23,0.0,1.1578260350901342,4.4135839836264115,107.55088035140189,0.6590103845338088
24,0.04890831706729636,1.0011411289676175,4.716930508515446,119.99197383072274,0.5928106816431632
25,0.0,1.2878819350589308,5.553582794062415,108.33062193619759,0.6371852846134732
26,0.031044290425775306,1.2518343696399272,5.2087277629800095,118.31463898203549,0.618842961994627
27,0.0,0.9355263709350916,6.106347063891885,242.42245241015152,0.6404800757956034
28,0.09095455964575598,1.1107660643050201,6.032452098588505,127.65596685039952,0.6188091397112008
29,0.10163656946398017,1.2166742177187488,5.998615347633711,127.09114445823604,0.6339382437183265
